Kierunek,Stopień,Specjalność ,Przedmiot,Pytanie,Odpowiedzi
Informatyka,1,-,Podstawy elektroniki i techniki cyfrowej,"Wzmacniacz operacyjny. Parametry charakterystyczne, zastosowania",
Informatyka,1,-,Podstawy elektroniki i techniki cyfrowej,"Bramki i funktory logiczne. Tabele prawdy. Minimalizacja funkcji",
Informatyka,1,-,Mikroprocesory i mikrokontrolery,"Budowa i zasada działania procesorów: potokowy, wektorowy, CISC, RISC",
Informatyka,1,-,Mikroprocesory i mikrokontrolery,"Klasyfikacja architektur komputerowych",
Informatyka,1,-,Mikroprocesory i mikrokontrolery,"Omówić podstawowe tryby adresowania",
Informatyka,1,-,Mikroprocesory i mikrokontrolery,"Formaty i typy rozkazów procesora, wpływ długości rozkazów procesora na wielkość zajmowanej pamięci przez program oraz na jego czas wykonania",
Informatyka,1,-,Podstawy baz danych,"Omów metody projektowania baz danych",
Informatyka,1,-,Podstawy baz danych,"Omów relacyjny model danych",
Informatyka,1,-,Podstawy baz danych,"Na czym polega proces normalizacji baz danych",
Informatyka,1,-,Podstawy sieci komputerowych,"Model ISO OSI. Model TCP/IP. Krótka charakterystyka warstw modelu",
Informatyka,1,-,Podstawy sieci komputerowych,"Adresowanie IP, podsieci i maski podsieci zmiennej długości",
Informatyka,1,-,Podstawy sieci komputerowych,"Metody dostępu do sieci w technologii bezprzewodowej WiFi",
Informatyka,2,Grafika komputerowa i multimedia,Zarządzanie projektem informatycznym,Omówić zasadnicze cechy mechanizmu dziedziczenia,
Informatyka,2,Grafika komputerowa i multimedia,Programowanie równoległe i rozproszone,Środowiska programowania równoległego,
Informatyka,2,Grafika komputerowa i multimedia,Programowanie równoległe i rozproszone,Sposoby równoważenia obciążenia procesorów w obliczeniach równoległych,
Informatyka,2,Grafika komputerowa i multimedia,Komputerowe przetwarzanie obrazu,Kompresja obrazu – omówić przykład kompresji stratnej i bezstratnej,
Informatyka,2,Grafika komputerowa i multimedia,Technologie przekazu multimedialnego,Zapis barwy w obrazie cyfrowym,
Informatyka,2,Informatyka stosowana,Integracja sieci komputerowych,Omów działanie protokołu dynamicznego routingu opartego na metryce odległości,
Informatyka,2,Informatyka stosowana,Integracja sieci komputerowych,"Przedstaw zasada działania następujących elementów (hub, switch , router)",
Informatyka,2,Informatyka stosowana,Integracja sieci komputerowych,Omów działanie protokołu OSPF,
Informatyka,2,Informatyka stosowana,Programowanie równoległe i rozproszone,Sposoby równoważenia obciążenia procesorów w obliczeniach równoległych,
Informatyka,2,Informatyka stosowana,Metody obliczeniowe w nauce i technice,Co to jest sformułowanie wariacyjne,
Informatyka,2,Teleinformatyka,Zarządzanie projektem informatycznym,Wymienić trzy główne ograniczenia w projekcie informatycznym: czym są i jakie są między nimi zależności?,
Informatyka,2,Teleinformatyka,Systemy teleinformatyczne,Podać i omówić 3 nowe rekordy wprowadzone w DNSSec,
Informatyka,2,Teleinformatyka,Bezpieczeństwo systemów teleinformatycznych,Omówić metodę łamania haseł z wykorzystaniem tęczowych tablic oraz podać zasady jakie musi spełniać dobra funkcja redukcyjna,
Informatyka,2,Teleinformatyka,Systemy teleinformatyczne,Sieci ATM - struktura i podstawowe cechy funkcjonalne,
Informatyka,2,Teleinformatyka,Integracja aplikacyjna i systemowa,Integracja w warstwie danych - typowe rozwiązania oraz stosowane technologie,
Informatyka,2,Cyberbezpieczeństwo,Wstęp do cyberbezpieczeństwa,"Zdefiniuj pojęcia: Phishing, Spam, Trojan",
Informatyka,2,Cyberbezpieczeństwo,Wstęp do cyberbezpieczeństwa,Wymień i omów siedem zasad RODO,
Informatyka,2,Cyberbezpieczeństwo,Bezpieczeństwo w sieciach telekomunikacyjnych,Scharakteryzuj trzy techniki ataków stosowanych w sieciach komputerowych,
Informatyka,2,Cyberbezpieczeństwo,Bezpieczeństwo w sieciach telekomunikacyjnych,Omów mechanizmy zabezpieczeń stosowane w sieciach bezprzewodowych Wi-Fi,
Informatyka,2,Cyberbezpieczeństwo,Bezpieczeństwo systemów informatycznych,Omów jedno z narzędzi modelowania zagrożeń systemów komputerowych,
Informatyka,2,Analityka danych/Data Science,Statystyka i probabilistyka,Wymień 3 przykładowe testy do sprawdzania równości wariancji.,
Informatyka,2,Analityka danych/Data Science,Przetwarzanie i analiza danych multimedialnych,Wymień i scharakteryzuj krótko przykładowy algorytm binaryzacji obrazu,
Informatyka,2,Analityka danych/Data Science,Zaawansowane techniki programowania,Wymienić przynajmniej 5 wzorców projektowych GoF. Wybrać i scharakteryzować 2 z nich. Jakie problemy dzięki nim są rozwiązywane?,
Informatyka,2,Analityka danych/Data Science,Programowanie równoległe i rozproszone,Omów krótko środowisko MPI.,
Informatyka,2,Analityka danych/Data Science,Zaawansowane technologie baz danych,Różnice pomiędzy relacyjną i nierelacyjną bazą danych. Przykłady zastosowań obu typów baz danych,
Informatyka,2,Analityka danych/Data Science,Metody odkrywania wiedzy II, Omówić jakie wyróżnia się etapy w przetwarzaniu i analizie danych w uczeniu maszynowym i krótko je scharakteryzować.
Informatyka,2,Analityka danych/Data Science,Metody odkrywania wiedzy II, Omówić po co się stosuje walidację krzyżową w uczeniu maszynowym oraz jakie metody walidacji wyróżniamy.
Informatyka,2,Analityka danych/Data Science,Metody odkrywania wiedzy II, Opisać kryteria oceny wyników w uczeniu maszynowym. Proszę omówić metody oceniana skuteczności predykcji klasyfikatorów.
Informatyka,2,Analityka danych/Data Science,Metody odkrywania wiedzy II, Opisać metody stosowane do wstępnego przetwarzania danych? Dlaczego ten etap jest ważny w uczeniu maszynowym?
Informatyka,2,Analityka danych/Data Science,Systemy rekomendacji, Omówić algorytm k-najbliższych sąsiadów (KNN).
Informatyka,2,Analityka danych/Data Science,Systemy rekomendacji, Opisać metodę maszyny wektorów nośnych (SVM).
Informatyka,2,Analityka danych/Data Science,Przetwarzanie i analiza danych multimedialnych, Opisać etap normalizacji, po co się go stosuje w uczeniu maszynowym?
Informatyka,2,Analityka danych/Data Science,Systemy rekomendacji, Omówić klasyfikator lasu losowego.
Informatyka,2,Analityka danych/Data Science,Szeregi czasowe, giełda, ekonomia, Omówić regresję wieloraką i regresję grzbietową.
Informatyka,2,Analityka danych/Data Science,Sieci neuronowe i deep learning, Omówić typy, metody treningu, strukturę i zasadę działania sztucznych sieci neuronowych.
Informatyka,2,Analityka danych/Data Science,Zaawansowane metody optymalizacji, Omówić metody optymalizacji hiper-parametrów klasyfikatorów, w tym algorytmy genetyczne.
Informatyka,2,Analityka danych/Data Science,Zaawansowane techniki programowania, Klasy i metody abstrakcyjne - podać przykłady praktycznego zastosowania.
Informatyka,2,Analityka danych/Data Science,Zaawansowane techniki programowania, Pojęcie hermetyzacji oraz metody praktycznej realizacji w językach obiektowo zorientowanych.
